Time;Channel;Count
2021-04-15 09:41:48.468200;Nederlands;1
2021-04-15 09:41:48.478567;Switch_on;1
2021-04-15 09:41:48.480558;Nederlands;1
2021-04-15 09:41:48.490971;Switch_on;1
2021-04-15 09:41:48.492911;Nederlands;1
2021-04-15 09:41:48.503300;Switch_on;1
2021-04-15 09:41:48.505235;Nederlands;1
2021-04-15 09:41:48.515599;Switch_on;1
2021-04-15 09:41:48.517485;Nederlands;1
2021-04-15 09:41:48.527755;Switch_on;1
2021-04-15 09:41:48.529375;Nederlands;1
2021-04-15 09:41:48.539608;Switch_on;1
2021-04-15 09:41:48.541259;Nederlands;1
2021-04-15 09:41:48.551506;Switch_on;1
2021-04-15 09:41:48.553120;Nederlands;1
2021-04-15 09:41:48.563356;Switch_on;1
2021-04-15 09:41:48.564963;Nederlands;1
2021-04-15 09:41:48.575196;Switch_on;1
2021-04-15 09:41:48.576811;Nederlands;1
2021-04-15 09:41:48.587047;Switch_on;1
2021-04-15 09:41:48.588653;Nederlands;1
2021-04-15 09:41:48.598883;Switch_on;1
2021-04-15 09:41:48.600536;Nederlands;1
2021-04-15 09:41:48.610784;Switch_on;1
2021-04-15 09:41:48.612396;Nederlands;1
2021-04-15 09:41:48.622651;Switch_on;1
2021-04-15 09:41:48.624372;Nederlands;1
2021-04-15 09:41:48.634625;Switch_on;1
2021-04-15 09:41:48.636239;Nederlands;1
2021-04-15 09:41:48.646472;Switch_on;1
2021-04-15 09:41:48.648083;Nederlands;1
2021-04-15 09:41:48.658321;Switch_on;1
2021-04-15 09:41:48.659929;Nederlands;1
2021-04-15 09:41:48.670164;Switch_on;1
2021-04-15 09:41:48.671815;Nederlands;1
2021-04-15 09:41:48.682052;Switch_on;1
2021-04-15 09:41:48.683663;Nederlands;1
2021-04-15 09:41:48.693898;Switch_on;1
2021-04-15 09:41:48.695503;Nederlands;1
2021-04-15 09:41:48.705733;Switch_on;1
2021-04-15 09:41:48.707349;Nederlands;1
2021-04-15 09:41:48.717605;Switch_on;1
2021-04-15 09:41:48.719328;Nederlands;1
2021-04-15 09:41:48.729586;Switch_on;1
2021-04-15 09:41:48.731273;Nederlands;1
2021-04-15 09:41:48.741523;Switch_on;1
2021-04-15 09:41:48.743143;Nederlands;1
2021-04-15 09:41:48.753379;Switch_on;1
2021-04-15 09:41:48.754988;Nederlands;1
2021-04-15 09:41:48.765220;Switch_on;1
2021-04-15 09:41:48.766838;Nederlands;1
2021-04-15 09:41:48.777073;Switch_on;1
2021-04-15 09:41:48.778683;Nederlands;1
2021-04-15 09:41:48.788915;Switch_on;1
2021-04-15 09:41:48.790567;Nederlands;1
2021-04-15 09:41:48.800813;Switch_on;1
2021-04-15 09:41:48.802425;Nederlands;1
2021-04-15 09:41:48.812706;Switch_on;1
2021-04-15 09:41:48.815292;Nederlands;1
2021-04-15 09:41:48.825639;Switch_on;1
2021-04-15 09:41:48.828132;Nederlands;1
2021-04-15 09:41:48.838462;Switch_on;1
2021-04-15 09:41:48.840998;Nederlands;1
2021-04-15 09:41:48.851340;Switch_on;1
2021-04-15 09:41:48.853824;Nederlands;1
2021-04-15 09:41:48.864158;Switch_on;1
2021-04-15 09:41:48.866642;Nederlands;1
2021-04-15 09:41:48.876966;Switch_on;1
2021-04-15 09:41:48.879456;Nederlands;1
2021-04-15 09:41:48.889786;Switch_on;1
2021-04-15 09:41:48.892313;Nederlands;1
2021-04-15 09:41:48.902722;Switch_on;1
2021-04-15 09:41:48.905227;Nederlands;1
2021-04-15 09:41:48.915581;Switch_on;1
2021-04-15 09:41:48.918433;Nederlands;1
2021-04-15 09:41:48.928810;Switch_on;1
2021-04-15 09:41:48.931657;Nederlands;1
2021-04-15 09:41:48.942043;Switch_on;1
2021-04-15 09:41:48.944836;Nederlands;1
2021-04-15 09:41:48.955198;Switch_on;1
2021-04-15 09:41:48.957995;Nederlands;1
2021-04-15 09:41:48.968356;Switch_on;1
